Reference,Left,SAB-code,SAB-grammatical,Verb,Lemma,Voice,SAA-code,SAA-grammatical,Right
doc#0,by this Regulation. </s><s> (2) This Regulation should be,Regulation,Agent,applied,Apply,A,EU,Subjected,in accordance with the values of the Union enshrined as in
doc#0,). </s><s> The harmonised rules laid down in this Regulation should,Regulation,Agent,apply,Apply,A,Acts,Subjected,"across sectors and, in line with the New Legislative"
doc#0,involved in the AI value chain under this Regulation should,Regulation,Agent,apply,Apply,A,Acts,Subjected,"without prejudice to national law, in compliance with"
doc#0,"the AI system''s development phase, the measures to be",AI,Backgrounded,applied,Apply,P,Regulation,Backgrounded,"during its use, the suitable ways in which to interpret the"
doc#0,"the Union, the rules established by this Regulation should",Regulation,Agent,apply,Apply,A,Company,Subjected,"to providers of AI systems in a non-discriminatory manner,"
doc#0,"persons located in the Union, this Regulation should also",Regulation,Agent,apply,Apply,A,Company,Subjected,to providers and deployers of AI systems that are
doc#0,"and evidence is exchanged, this Regulation should not",Regulation,Agent,apply,Apply,A,Government,Subjected,to public authorities of a third country and international
doc#0,of this Regulation. </s><s> (23) This Regulation should also,Regulation,Agent,apply,Apply,A,EU,Subjected,"to Union institutions, bodies, offices and agencies when"
doc#0,"models, the provisions of this Regulation should also not",Regulation,Agent,apply,Apply,A,Products,Subjected,prior to those systems and models being put into service or
doc#0,", such use, which are based on Article 16 TFEU, should",Regulation,Agent,apply,Apply,A,Social,Subjected,as lex specialis in respect of the rules on the processing of
doc#0,"5(1), first subparagraph, point (g), to the extent it",Other,Agent,applies,Apply,A,Social,Subjected,to the use of biometric categorisation systems for
doc#0,"5(1), first subparagraph, point (d), to the extent it",Regulation,Agent,applies,Apply,A,Regulation,Backgrounded,"to the use of AI systems covered by that provision, Article 5"
doc#0,"5(1), first subparagraph, point (g), to the extent it",Other,Agent,applies,Apply,A,Social,Subjected,to the use of biometric categorisation systems for
doc#0,"5(1), first subparagraph, point (d), to the extent it",Other,Agent,applies,Apply,A,AI,Subjected,"to the use of AI systems covered by that provision, Article 5"
doc#0,legislation listed in an annex to this Regulation,Company,Backgrounded,apply,Apply,A,Products,Subjected,", should have flexibility with regard to operational"
doc#0,in the relevant Union harmonisation legislation that,Acts,Agent,applies,Apply,A,AI,Subjected,"to the product. </s><s> This is, in particular, the case for"
doc#0,"lowered risk. </s><s> That condition would, for example,",Regulation,Agent,apply,Apply,A,AI,Subjected,to AI systems that are intended to improve the language used
doc#0,"one''s standard of living. </s><s> In particular, natural persons",Public,Agent,applying,Apply,A,Social,Beneficiaries,for or receiving essential public assistance benefits and
doc#0,natural persons entering the territory of a Member State or,Public,Agent,applying,Apply,A,Social,Beneficiaries,"for visa or asylum, for assisting competent public"
doc#0,to establish the eligibility of the natural persons,Public,Agent,applying,Apply,A,Social,Beneficiaries,"for a status, for the purpose of detecting, recognising or"
doc#0,in researching and interpreting facts and the law and in,General,Agent,applying,Apply,A,Acts,Subjected,the law to a concrete set of facts. </s><s> AI systems intended to be
doc#0,"trustworthiness, certain mandatory requirements should",Acts,Agent,apply,Apply,A,AI,Subjected,"to high-risk AI systems, taking into account the intended"
doc#0,Framework and listed in an annex to this Regulation,Company,Agent,apply,Apply,A,Regulation,Subjected,", should have flexibility with regard to operational"
doc#0,as necessary and appropriate. </s><s> (66) Requirements should,Acts,Agent,apply,Apply,A,AI,Subjected,"to high-risk AI systems as regards risk management, the"
doc#0,", border control and asylum, this requirement should not",Regulation,Agent,apply,Apply,A,Acts,Subjected,where Union or national law considers the application of
doc#0,assessment procedure provided by this Regulation should,Regulation,Backgrounded,apply,Apply,A,Social,Subjected,in relation to the essential cybersecurity requirements
doc#0,on internal control set out in an annex to this Regulation,Regulation,Agent,applies,Apply,A,EU,Backgrounded,", are subject to the conformity assessment provisions of a"
doc#0,control set out in an annex to this Regulation should,Regulation,Agent,apply,Apply,A,Acts,Suppressed,. </s><s> Building on the knowledge and expertise of ENISA on the
doc#0,accordance with this Regulation. </s><s> Those provisions should,Regulation,Agent,apply,Apply,A,Acts,Subjected,without prejudice to more specific provisions
doc#0,"23/144 EN OJ L, 12.7.2024 Regulation should",Regulation,Agent,apply,Apply,A,Acts,Subjected,". </s><s> For example, Article 16(2) of Regulation (EU) 2017/745,"
doc#0,"with the applicable requirements, should continue to",Acts,Agent,apply,Apply,A,AI,Subjected,to high-risk AI systems that are medical devices within the
doc#0,"AI models that pose systemic risks, which should",Regulation,Agent,apply,Apply,A,AI,Subjected,also when these models are integrated or form part of an AI
doc#0,for the providers of general-purpose AI models should,Company,Agent,apply,Apply,A,Company,Suppressed,once the general-purpose AI models are placed on the market
doc#0,in this Regulation for models should continue to,Regulation,Agent,apply,Apply,A,AI,Subjected,in addition to those for AI systems. </s><s> The obligations laid
doc#0,. </s><s> The obligations laid down for models should in any case not,Regulation,Agent,apply,Apply,A,AI,Backgrounded,when an own model is used for purely internal processes that
doc#0,unless relevant copyright exceptions and limitations,Acts,Agent,apply,Apply,A,Social,Suppressed,. </s><s> Directive (EU) 2019/790 introduced exceptions and
doc#0,able to gain a competitive advantage in the Union market by,Company,Agent,applying,Apply,A,Products,Beneficiaries,lower copyright standards than those provided in the Union
doc#0,implementation of Regulation (EU) 2022/2065. </s><s> This,Acts,Backgrounded,applies,Apply,A,Company,Beneficiaries,in particular as regards the obligations of providers of
doc#0,implementation of Regulation (EU) 2022/2065. </s><s> This,Acts,Backgrounded,applies,Apply,A,Company,Beneficiaries,in particular as regards the obligations of providers of
doc#0,products established by Regulation (EU) 2019/1020 should,Company,Suppressed,apply,Apply,A,Products,Subjected,in its entirety. </s><s> Market surveillance authorities
doc#0,deployers of high-risk AI systems to the extent that these,Company,Agent,apply,Apply,A,EU,Subjected,to credit institutions regulated by Directive 2013/36/EU
doc#0,regulated by Directive 2013/36/EU. </s><s> The same regime should,Acts,Agent,apply,Apply,A,Social,Subjected,to insurance and re-insurance undertakings and insurance
doc#0,cases in Chapter VI of Regulation (EU) 2019/1020 should,Regulation,Agent,apply,Apply,A,Other,Subjected,mutatis mutandis. </s><s> (162) To make best use of the centralised
doc#0,"in Article 18 of Regulation (EU) 2019/1020, which should",Regulation,Agent,apply,Apply,A,Other,Subjected,"mutatis mutandis, without prejudice to more specific"
doc#0,"high-risk or not, and AI models should also be encouraged to",Company,Backgrounded,apply,Apply,A,Acts,Subjected,"on a voluntary basis additional requirements related, for"
doc#0,of the European Parliament and of the Council (53) would,Regulation,Agent,apply,Apply,A,EU,Backgrounded,as a safety net. </s><s> (167) In order to ensure trustful and
doc#0,their rights. </s><s> The right to obtain an explanation should not,Social,Agent,apply,Apply,A,AI,Subjected,to the use of AI systems for which exceptions or
doc#0,restrictions follow from Union or national law and should,Social,Agent,apply,Apply,A,Acts,Backgrounded,only to the extent this right is not already provided for
doc#0,Parliament and of the Council (54) should therefore,EU,Agent,apply,Apply,A,Regulation,Backgrounded,to the reporting of infringements of this Regulation and
doc#0,and the technical expertise required to effectively,Other,Agent,apply,Apply,A,Regulation,Beneficiaries,"this Regulation, the Commission should evaluate and"
doc#0,"use of AI systems, it is appropriate that this Regulation",Regulation,Agent,applies,Apply,A,AI,Subjected,to the high-risk AI systems that have been placed on the
doc#0,the transitional period. </s><s> (179) This Regulation should,Regulation,Agent,apply,Apply,A,Other,Subjected,"from 2 August 2026. </s><s> However, taking into account the"
doc#0,the general provisions of this Regulation should already,Regulation,Agent,apply,Apply,A,Other,Subjected,from 2 February 2025. </s><s> While the full effect of those
doc#0,on notified bodies and governance structure should,Government,Agent,apply,Apply,A,Other,Subjected,from 2 August 2025. </s><s> Given the rapid pace of technological
doc#0,for providers of general-purpose AI models should,Company,Agent,apply,Apply,A,Other,Subjected,from 2 August 2025. </s><s> Codes of practice should be ready by 2 May
doc#0,Regulation. </s><s> Therefore the provisions on penalties should,Acts,Agent,apply,Apply,A,Other,Subjected,from 2 August 2025. </s><s> (180) The European Data Protection
doc#0,", including start-ups. </s><s> Article 2 Scope 1. </s><s> This Regulation",Regulation,Agent,applies,Apply,A,Company,Subjected,to: (a) providers placing on the market or putting into
doc#0,"I, only Article 6(1), Articles 102 to 109 and Article 112",Regulation,Agent,apply,Apply,A,AI,Backgrounded,. </s><s> Article 57 applies only in so far as the requirements for
doc#0,"6(1), Articles 102 to 109 and Article 112 apply. </s><s> Article 57",Regulation,Agent,applies,Apply,A,AI,Subjected,only in so far as the requirements for high-risk AI systems
doc#0,harmonisation legislation. 3. </s><s> This Regulation does not,Regulation,Agent,apply,Apply,A,Acts,Subjected,"to areas outside the scope of Union law, and shall not, in any"
doc#0,in relation to those competences. </s><s> This Regulation does not,Regulation,Agent,apply,Apply,A,AI,Subjected,to AI systems where and in so far they are placed on the market
doc#0,carrying out those activities. </s><s> This Regulation does not,Regulation,Agent,apply,Apply,A,AI,Subjected,to AI systems which are not placed on the market or put into
doc#0,entity carrying out those activities. 4. </s><s> This Regulation,Regulation,Agent,applies,Apply,A,Government,Beneficiaries,neither to public authorities in a third country nor to
